omrrts,Customer_#,Order_Date,Product_#,Quantity,Unit_Price,Total_Cost,Order_Category
474,10140,11/12/2015,Product 5,19, 12.00 , 228.00 ,Large Order
475,10135,3/17/2014,Product 3,9, 12.00 , 108.00 ,Normal Order
476,10057,8/30/2014,Product 2,21, 12.00 , 252.00 ,Large Order
477,10013,11/30/2010,Product 4,9, 2.00 , 18.00 ,Normal Order
478,10066,11/7/2015,Product 7,16, 9.00 , 144.00 ,Large Order
479,10089,1/26/2014,Product 8,6, 8.00 , 48.00 ,Normal Order
480,10083,5/27/2010,Product 2,12, 12.00 , 144.00 ,Normal Order
481,10050,8/19/2013,Product 4,15, 2.00 , 30.00 ,Large Order
482,10103,8/2/2010,Product 3,29, 12.00 , 348.00 ,Large Order
483,10069,5/27/2014,Product 9,24, 2.00 , 48.00 ,Large Order
484,10086,3/9/2010,Product 8,3, 8.00 , 24.00 ,Small Order
485,10092,7/19/2014,Product 9,11, 2.00 , 22.00 ,Normal Order
486,10069,12/27/2011,Product 4,9, 2.00 , 18.00 ,Normal Order
487,10093,2/28/2013,Product 8,13, 8.00 , 104.00 ,Normal Order
488,10046,2/2/2013,Product 2,21, 12.00 , 252.00 ,Large Order
489,10073,4/3/2015,Product 5,11, 12.00 , 132.00 ,Normal Order
490,10145,9/10/2010,Product 9,1, 2.00 , 2.00 ,Small Order
491,10014,6/1/2012,Product 10,26, 13.00 , 338.00 ,Large Order
492,10107,10/17/2013,Product 4,29, 2.00 , 58.00 ,Large Order
493,10033,12/29/2011,Product 3,20, 12.00 , 240.00 ,Large Order
494,10128,9/30/2012,Product 5,23, 12.00 , 276.00 ,Large Order
495,10070,12/12/2012,Product 9,13, 2.00 , 26.00 ,Normal Order
496,10088,9/24/2013,Product 8,26, 8.00 , 208.00 ,Large Order
497,10080,11/28/2015,Product 8,19, 8.00 , 152.00 ,Large Order
498,10017,2/27/2010,Product 10,5, 13.00 , 65.00 ,Small Order
499,10088,3/2/2015,Product 10,14, 13.00 , 182.00 ,Normal Order
500,10126,6/12/2013,Product 10,10, 13.00 , 130.00 ,Normal Order
501,10067,4/2/2011,Product 6,15, 4.00 , 60.00 ,Large Order
502,10092,8/21/2013,Product 8,19, 8.00 , 152.00 ,Large Order
503,10129,6/9/2015,Product 3,19, 12.00 , 228.00 ,Large Order
504,10125,9/27/2012,Product 9,23, 2.00 , 46.00 ,Large Order
505,10145,10/24/2014,Product 1,23, 18.00 , 414.00 ,Large Order
506,10068,1/6/2010,Product 10,25, 13.00 , 325.00 ,Large Order
507,10145,8/30/2013,Product 10,10, 13.00 , 130.00 ,Normal Order
508,10018,1/13/2012,Product 6,2, 4.00 , 8.00 ,Small Order
509,10102,12/12/2015,Product 9,14, 2.00 , 28.00 ,Normal Order
510,10072,6/1/2013,Product 2,7, 12.00 , 84.00 ,Normal Order
511,10076,2/24/2011,Product 8,16, 8.00 , 128.00 ,Large Order
512,10099,4/10/2013,Product 4,3, 2.00 , 6.00 ,Small Order
513,10131,7/15/2014,Product 3,27, 12.00 , 324.00 ,Large Order
514,10098,5/10/2013,Product 3,5, 12.00 , 60.00 ,Small Order
515,10102,7/23/2011,Product 6,3, 4.00 , 12.00 ,Small Order
516,10147,7/24/2011,Product 1,26, 18.00 , 468.00 ,Large Order
517,10070,4/20/2011,Product 7,24, 9.00 , 216.00 ,Large Order
518,10139,1/18/2011,Product 8,20, 8.00 , 160.00 ,Large Order
519,10035,7/25/2010,Product 9,19, 2.00 , 38.00 ,Large Order
520,10138,2/6/2012,Product 3,21, 12.00 , 252.00 ,Large Order
521,10074,12/29/2015,Product 7,5, 9.00 , 45.00 ,Small Order
522,10036,11/6/2012,Product 8,8, 8.00 , 64.00 ,Normal Order
523,10082,7/3/2014,Product 2,6, 12.00 , 72.00 ,Normal Order
524,10037,3/28/2015,Product 10,20, 13.00 , 260.00 ,Large Order
525,10073,12/7/2014,Product 1,6, 18.00 , 108.00 ,Normal Order
526,10095,1/23/2015,Product 3,25, 12.00 , 300.00 ,Large Order
527,10084,10/14/2013,Product 9,11, 2.00 , 22.00 ,Normal Order
528,10003,11/2/2013,Product 5,18, 12.00 , 216.00 ,Large Order
529,10125,1/24/2012,Product 5,7, 12.00 , 84.00 ,Normal Order
530,10078,11/18/2013,Product 5,17, 12.00 , 204.00 ,Large Order
531,10075,11/10/2011,Product 7,17, 9.00 , 153.00 ,Large Order
532,10087,8/27/2011,Product 2,3, 12.00 , 36.00 ,Small Order
533,10030,5/7/2014,Product 9,16, 2.00 , 32.00 ,Large Order
534,10031,8/1/2012,Product 1,16, 18.00 , 288.00 ,Large Order
535,10088,10/31/2013,Product 9,2, 2.00 , 4.00 ,Small Order
536,10063,11/18/2010,Product 1,5, 18.00 , 90.00 ,Small Order
537,10063,7/31/2010,Product 1,19, 18.00 , 342.00 ,Large Order
538,10150,5/26/2012,Product 2,2, 12.00 , 24.00 ,Small Order
539,10061,7/9/2014,Product 6,16, 4.00 , 64.00 ,Large Order
540,10042,11/30/2010,Product 1,7, 18.00 , 126.00 ,Normal Order
541,10012,1/9/2014,Product 1,21, 18.00 , 378.00 ,Large Order
542,10140,2/20/2011,Product 6,17, 4.00 , 68.00 ,Large Order
543,10080,1/14/2012,Product 6,8, 4.00 , 32.00 ,Normal Order
544,10014,11/1/2010,Product 9,9, 2.00 , 18.00 ,Normal Order
545,10086,2/17/2014,Product 10,2, 13.00 , 26.00 ,Small Order
546,10039,8/7/2011,Product 7,17, 9.00 , 153.00 ,Large Order
547,10106,5/22/2011,Product 1,8, 18.00 , 144.00 ,Normal Order
548,10087,8/23/2014,Product 2,26, 12.00 , 312.00 ,Large Order
549,10040,9/22/2012,Product 8,5, 8.00 , 40.00 ,Small Order
550,10036,4/1/2011,Product 6,24, 4.00 , 96.00 ,Large Order
551,10025,8/3/2013,Product 9,20, 2.00 , 40.00 ,Large Order
552,10084,8/18/2013,Product 9,12, 2.00 , 24.00 ,Normal Order
553,10143,3/1/2014,Product 7,8, 9.00 , 72.00 ,Normal Order
554,10018,6/23/2010,Product 7,3, 9.00 , 27.00 ,Small Order
555,10138,1/20/2014,Product 7,20, 9.00 , 180.00 ,Large Order
556,10065,10/21/2015,Product 10,19, 13.00 , 247.00 ,Large Order
557,10107,6/6/2013,Product 4,17, 2.00 , 34.00 ,Large Order
558,10147,2/25/2015,Product 5,18, 12.00 , 216.00 ,Large Order
559,10115,8/31/2012,Product 3,2, 12.00 , 24.00 ,Small Order
560,10030,12/23/2014,Product 1,1, 18.00 , 18.00 ,Small Order
561,10061,4/7/2012,Product 8,21, 8.00 , 168.00 ,Large Order
562,10113,1/8/2013,Product 5,26, 12.00 , 312.00 ,Large Order
563,10059,5/7/2012,Product 1,3, 18.00 , 54.00 ,Small Order
564,10006,5/20/2015,Product 3,30, 12.00 , 360.00 ,Large Order
565,10073,12/26/2012,Product 6,26, 4.00 , 104.00 ,Large Order
566,10124,1/22/2012,Product 7,24, 9.00 , 216.00 ,Large Order
567,10115,9/1/2015,Product 10,2, 13.00 , 26.00 ,Small Order
568,10071,9/4/2013,Product 9,17, 2.00 , 34.00 ,Large Order
569,10057,1/12/2011,Product 1,9, 18.00 , 162.00 ,Normal Order
570,10125,2/17/2012,Product 2,5, 12.00 , 60.00 ,Small Order
571,10124,4/29/2014,Product 4,28, 2.00 , 56.00 ,Large Order
572,10093,12/13/2010,Product 2,12, 12.00 , 144.00 ,Normal Order
573,10069,11/11/2014,Product 1,22, 18.00 , 396.00 ,Large Order
574,10053,1/16/2010,Product 9,6, 2.00 , 12.00 ,Normal Order
575,10011,4/19/2013,Product 6,29, 4.00 , 116.00 ,Large Order
576,10011,12/4/2011,Product 9,13, 2.00 , 26.00 ,Normal Order
577,10038,1/20/2010,Product 4,6, 2.00 , 12.00 ,Normal Order
578,10017,5/4/2011,Product 9,28, 2.00 , 56.00 ,Large Order
579,10132,9/17/2012,Product 4,14, 2.00 , 28.00 ,Normal Order
580,10002,4/8/2015,Product 5,26, 12.00 , 312.00 ,Large Order
581,10087,9/29/2012,Product 4,27, 2.00 , 54.00 ,Large Order
582,10144,7/17/2010,Product 9,10, 2.00 , 20.00 ,Normal Order
583,10036,6/21/2011,Product 9,16, 2.00 , 32.00 ,Large Order
584,10088,3/3/2014,Product 2,28, 12.00 , 336.00 ,Large Order
585,10059,7/29/2012,Product 3,9, 12.00 , 108.00 ,Normal Order
586,10097,1/25/2010,Product 5,14, 12.00 , 168.00 ,Normal Order
587,10030,1/11/2012,Product 2,28, 12.00 , 336.00 ,Large Order
588,10083,2/11/2014,Product 9,23, 2.00 , 46.00 ,Large Order
589,10119,11/23/2014,Product 2,5, 12.00 , 60.00 ,Small Order
590,10145,9/19/2010,Product 9,9, 2.00 , 18.00 ,Normal Order
591,10014,4/24/2012,Product 10,26, 13.00 , 338.00 ,Large Order
592,10148,8/11/2011,Product 5,13, 12.00 , 156.00 ,Normal Order
593,10044,2/26/2015,Product 7,27, 9.00 , 243.00 ,Large Order
594,10003,10/8/2011,Product 1,29, 18.00 , 522.00 ,Large Order
595,10111,7/3/2013,Product 2,29, 12.00 , 348.00 ,Large Order
596,10075,10/19/2010,Product 8,30, 8.00 , 240.00 ,Large Order
597,10026,6/21/2013,Product 8,29, 8.00 , 232.00 ,Large Order
598,10137,5/9/2013,Product 9,20, 2.00 , 40.00 ,Large Order
599,10135,10/15/2012,Product 3,2, 12.00 , 24.00 ,Small Order
600,10131,11/17/2015,Product 7,29, 9.00 , 261.00 ,Large Order
